"row ID","Document","Sentence","Number of terms","Pre-processed"
"Row4805","""Inclusive ARVR accessibility barriers immersive technologies""","Lack compatibility existing technologies 
volume solve clarity audio problem”",9,"lack compatibility existing technologies 
volume solve clarity audio problem”"
"Row4806","""Inclusive ARVR accessibility barriers immersive technologies""","integration assistive devices key 
barrier closely connected identified barrier user",10,"integration assistive devices key 
barrier closely connected identified barrier user"
"Row4807","""Inclusive ARVR accessibility barriers immersive technologies""","Participants clarified peo-
difficulties pinpointing locations navigating immersive ple living hearing impairments methods 
environments",15,"participants clarified peo-
difficulties pinpointing locations navigating immersive ple living hearing impairments methods 
environments"
"Row4808","""Inclusive ARVR accessibility barriers immersive technologies""","support interactions environments g",4,"support interactions environments g"
"Row4809","""Inclusive ARVR accessibility barriers immersive technologies""","lip 

Table Key barriers using ARVR technologies users living auditory impairments themes software usability hardware 
usability ethics collaborationinteraction

Software usability
Friction initial access entry level barriers occur prior interaction g",30,"lip 

table key barriers using arvr technologies users living auditory impairments themes software usability hardware 
usability ethics collaborationinteraction

software usability
friction initial access entry level barriers occur prior interaction g"
"Row4810","""Inclusive ARVR accessibility barriers immersive technologies""","ARVR literacy technology acceptance
Lack clarity sounds instructions audio format concerns poor sound quality lack visual prompts users hearing 

impairments
Lack standardisation text presentation challenges associated text presentation ARVR environments describe 

reflect immersive environments terms context emotions
Difficulty pinpointing locations environment navigation concerns head motion tracking navigation immersive environments 

sound sources unknown unclear
Hardware usability
Space hearing aid concerns limited physical space hearing aids current bulky ARVR devices
Compatibility integration existing technologies assistive devices challenges associated incompatibility current ARVR 

devices coping methods g",83,"arvr literacy technology acceptance
lack clarity sounds instructions audio format concerns poor sound quality lack visual prompts users hearing 

impairments
lack standardisation text presentation challenges associated text presentation arvr environments describe 

reflect immersive environments terms context emotions
difficulty pinpointing locations environment navigation concerns head motion tracking navigation immersive environments 

sound sources unknown unclear
hardware usability
space hearing aid concerns limited physical space hearing aids current bulky arvr devices
compatibility integration existing technologies assistive devices challenges associated incompatibility current arvr 

devices coping methods g"
"Row4811","""Inclusive ARVR accessibility barriers immersive technologies""","lip reading assistive devices audio transcription sign language
Haptics concerns setup times costs impact haptics prolonged times users hearing impairments
Lack customization concerns current lack customisable ARVR devices compatible existing assistive technologies tools users auditory impairments
Ethics
Deaf communities closed barriers closed nature Deaf communities potential implications ARVR adoption usage
Collaboration interaction
Inability sign languages challenges faced users unable sign language due sign language language due low camera visual quality
Lack synchronization conversations challenges lack synchronisation conversations collaborative settings due slow audio 

transcriptioncaptioning current ARVR systems using incompatible assistive methods able lip read
Poor rendering avatars supporting lip reading challenges lip reading sign language interpretation due poor rendering quality avatar orand visual information immersive environments

Universal Access Information Society 

reading assistive devices audio transcription sign lan- provide sufficient fidelity terms quality guage overlap current accessibility tools",136,"lip reading assistive devices audio transcription sign language
haptics concerns setup times costs impact haptics prolonged times users hearing impairments
lack customization concerns current lack customisable arvr devices compatible existing assistive technologies tools users auditory impairments
ethics
deaf communities closed barriers closed nature deaf communities potential implications arvr adoption usage
collaboration interaction
inability sign languages challenges faced users unable sign language due sign language language due low camera visual quality
lack synchronization conversations challenges lack synchronisation conversations collaborative settings due slow audio 

transcriptioncaptioning current arvr systems using incompatible assistive methods able lip read
poor rendering avatars supporting lip reading challenges lip reading sign language interpretation due poor rendering quality avatar orand visual information immersive environments

universal access information society 

reading assistive devices audio transcription sign lan- provide sufficient fidelity terms quality guage overlap current accessibility tools"
"Row4812","""Inclusive ARVR accessibility barriers immersive technologies""","enable accurate lip reading",4,"enable accurate lip reading"
"Row4813","""Inclusive ARVR accessibility barriers immersive technologies""","overlap lead users hearing impairments 
left conversations activities collabora-
tive settings",12,"overlap lead users hearing impairments 
left conversations activities collabora-
tive settings"
"Row4814","""Inclusive ARVR accessibility barriers immersive technologies""","Moreover participants highlighted current lack Discussion
integration tools including input output relevant individuals hearing g",15,"moreover participants highlighted current lack discussion
integration tools including input output relevant individuals hearing g"
"Row4815","""Inclusive ARVR accessibility barriers immersive technologies""","haptics paper key barriers faced users living mouth body movements",10,"haptics paper key barriers faced users living mouth body movements"
"Row4816","""Inclusive ARVR accessibility barriers immersive technologies""","range impairments e",3,"range impairments e"
"Row4817","""Inclusive ARVR accessibility barriers immersive technologies""","physical visual auditory haptics ARVR systems support users cognitive using immersive technologies utilising hearing impairments hardware barrier identi- user centric participatory study design included par-
fied",26,"physical visual auditory haptics arvr systems support users cognitive using immersive technologies utilising hearing impairments hardware barrier identi- user centric participatory study design included par-
fied"
"Row4818","""Inclusive ARVR accessibility barriers immersive technologies""","Participants indicated haptics tiresome ticipation users impairments relevant 
raised concerns setup times costs key stakeholders e",16,"participants indicated haptics tiresome ticipation users impairments relevant 
raised concerns setup times costs key stakeholders e"
"Row4819","""Inclusive ARVR accessibility barriers immersive technologies""","charity workers community repre-
impact using haptics prolonged periods users sentatives academic industry experts",15,"charity workers community repre-
impact using haptics prolonged periods users sentatives academic industry experts"
"Row4820","""Inclusive ARVR accessibility barriers immersive technologies""","pre-
hearing impairments",4,"pre-
hearing impairments"
"Row4821","""Inclusive ARVR accessibility barriers immersive technologies""","Additionally participants under- sents unique barriers identified users living lined lack customisation key barrier using AR impairments relevant stakeholders Tables  VR technologies urged headset manufacturers build 4 reports insights lived experiences shared 
devices compatible existing assistive technolo- ARVR technologies",39,"additionally participants under- sents unique barriers identified users living lined lack customisation key barrier using ar impairments relevant stakeholders tables  vr technologies urged headset manufacturers build 4 reports insights lived experiences shared 
devices compatible existing assistive technolo- arvr technologies"
"Row4822","""Inclusive ARVR accessibility barriers immersive technologies""","themes gies tools improve ARVR accessibility par- align confirm findings highlighted related work—for 
ticipants acknowledged developing specific devices instance terms challenges setting immersive 
levels hearing impairments com- systems including dependency issues mercially viable",33,"themes gies tools improve arvr accessibility par- align confirm findings highlighted related work—for 
ticipants acknowledged developing specific devices instance terms challenges setting immersive 
levels hearing impairments com- systems including dependency issues mercially viable"
"Row4823","""Inclusive ARVR accessibility barriers immersive technologies""","integration external assistive tools potential harm engaging experiences inaccessible",9,"integration external assistive tools potential harm engaging experiences inaccessible"
"Row4824","""Inclusive ARVR accessibility barriers immersive technologies""","thics real-world scenarios issues relating representa-

tion disability via avatars 68–70",12,"thics real-world scenarios issues relating representa-

tion disability via avatars 68–70"
"Row4825","""Inclusive ARVR accessibility barriers immersive technologies""","Furthermore Participants highlighted Deaf communities barriers highlighted sensory inputs social 
closed strong identity seek fit support communication barriers support previous 
adopt technologies unless accepted field 72–75",26,"furthermore participants highlighted deaf communities barriers highlighted sensory inputs social 
closed strong identity seek fit support communication barriers support previous 
adopt technologies unless accepted field 72–75"
"Row4826","""Inclusive ARVR accessibility barriers immersive technologies""","community",1,"community"
"Row4827","""Inclusive ARVR accessibility barriers immersive technologies""","particular concepts common themes barriers challenges Metaverse shared virtual spaces collabora- noted—for instance entry level barriers faced tion participants hearing impairments indicated users prior starting experiencing ARVR experiences 
“find tribe” environments common impairments",34,"particular concepts common themes barriers challenges metaverse shared virtual spaces collabora- noted—for instance entry level barriers faced tion participants hearing impairments indicated users prior starting experiencing arvr experiences 
“find tribe” environments common impairments"
"Row4828","""Inclusive ARVR accessibility barriers immersive technologies""","Challenges 
Metaverse community adopted form lack access ARVR technologies devices 
technology",11,"challenges 
metaverse community adopted form lack access arvr technologies devices 
technology"
"Row4829","""Inclusive ARVR accessibility barriers immersive technologies""","Participants highlighted users communities representing users living impairments 
hearing impairments access ARVR tools low ARVR literacy inability ARVR technolo-
technologies available  gies due current lack accessibility features available remains ARVR literacy key barriers ARVR adoption",35,"participants highlighted users communities representing users living impairments 
hearing impairments access arvr tools low arvr literacy inability arvr technolo-
technologies available  gies due current lack accessibility features available remains arvr literacy key barriers arvr adoption"
"Row4830","""Inclusive ARVR accessibility barriers immersive technologies""","Users Deaf communities",3,"users deaf communities"
"Row4831","""Inclusive ARVR accessibility barriers immersive technologies""","highlighted additional entry barriers using shared virtual 

spaces collaborative settings Metaverse",11,"highlighted additional entry barriers using shared virtual 

spaces collaborative settings metaverse"
"Row4832","""Inclusive ARVR accessibility barriers immersive technologies""","ollaboration interaction namely Metaverse literacy software hardware training 

requirements currently readily available users 
Participants highlighted challenges lip reading sign living impairments",21,"ollaboration interaction namely metaverse literacy software hardware training 

requirements currently readily available users 
participants highlighted challenges lip reading sign living impairments"
"Row4833","""Inclusive ARVR accessibility barriers immersive technologies""","Entry barriers emphasise 
language interpretation due poor rendering quality current digital divide people disabilities 1 2 
avatar orand visual information shared immersive envi- limits access ARVR technologies user 
ronments",29,"entry barriers emphasise 
language interpretation due poor rendering quality current digital divide people disabilities 1 2 
avatar orand visual information shared immersive envi- limits access arvr technologies user 
ronments"
"Row4834","""Inclusive ARVR accessibility barriers immersive technologies""","barrier illustrates user",3,"barrier illustrates user"
"Row4835","""Inclusive ARVR accessibility barriers immersive technologies""","hearing impairment confident able lip reading Users stressed including sign language poor quality relevant visual informa- embedding disabled users stages ARVR 
tion barrier ARVR technologies",26,"hearing impairment confident able lip reading users stressed including sign language poor quality relevant visual informa- embedding disabled users stages arvr 
tion barrier arvr technologies"
"Row4836","""Inclusive ARVR accessibility barriers immersive technologies""","research product development e",4,"research product development e"
"Row4837","""Inclusive ARVR accessibility barriers immersive technologies""","concept design Participants added critical information development",7,"concept design participants added critical information development"
"Row4838","""Inclusive ARVR accessibility barriers immersive technologies""","address  recent research lost conversations collaborative settings users promising shift towards inclusive study designs required lip read avatars real people developing ARVR users disabilities 80 81",26,"address  recent research lost conversations collaborative settings users promising shift towards inclusive study designs required lip read avatars real people developing arvr users disabilities 80 81"
"Row4839","""Inclusive ARVR accessibility barriers immersive technologies""","camera",1,"camera"
"Row4840","""Inclusive ARVR accessibility barriers immersive technologies""","Participants highlighted “Apple’s Animojis” Additionally frameworks provide guide-
example current art facial mesh avatars lines designers developers establish participatory 

Universal Access Information Society

methods ensure development tools address user widely adopted moving forward people capitalise user strengths 76",41,"participants highlighted “apple’s animojis” additionally frameworks provide guide-
example current art facial mesh avatars lines designers developers establish participatory 

universal access information society

methods ensure development tools address user widely adopted moving forward people capitalise user strengths 76"
"Row4841","""Inclusive ARVR accessibility barriers immersive technologies""","lived experience impairments directly informing Participants argued promising concepts aca- shaping design inclusive immersive platforms demic research stay universities gen- stage",22,"lived experience impairments directly informing participants argued promising concepts aca- shaping design inclusive immersive platforms demic research stay universities gen- stage"
"Row4842","""Inclusive ARVR accessibility barriers immersive technologies""","Wider partnerships stakeholders e",4,"wider partnerships stakeholders e"
"Row4843","""Inclusive ARVR accessibility barriers immersive technologies""","chari-
erally move production critical academic ties special schoolscolleges disability organisations 
research studies able bodied participants evaluate etc help accelerate efforts developing 
ARVR prototypes systems intended accessible ARVR experiences truly effective 
people living impairments",34,"chari-
erally move production critical academic ties special schoolscolleges disability organisations 
research studies able bodied participants evaluate etc help accelerate efforts developing 
arvr prototypes systems intended accessible arvr experiences truly effective 
people living impairments"
"Row4844","""Inclusive ARVR accessibility barriers immersive technologies""","Insights participants people disabilities",4,"insights participants people disabilities"
"Row4845","""Inclusive ARVR accessibility barriers immersive technologies""","regarding effectiveness academic research addressing 
ARVR accessibility alignment -
ings recent review research methods practices onclusion
emerging technologies support users 
living disabilities 76 found research studies contributes deeper understanding users disabilities exploratory range technical societal economical barriers expe-
technologies associated studies usually rienced people lived experiences disability tested term real-world scenarios",51,"regarding effectiveness academic research addressing 
arvr accessibility alignment -
ings recent review research methods practices onclusion
emerging technologies support users 
living disabilities 76 found research studies contributes deeper understanding users disabilities exploratory range technical societal economical barriers expe-
technologies associated studies usually rienced people lived experiences disability tested term real-world scenarios"
"Row4846","""Inclusive ARVR accessibility barriers immersive technologies""","recent relation immersive technologies",4,"recent relation immersive technologies"
"Row4847","""Inclusive ARVR accessibility barriers immersive technologies""","mapping chal-
review research concerning impact AR adults lenges forms impairment provides impor-
children living ASD highlights lack lon- tant platform wider research community start 
gitudinal studies barrier understand impact addressing accessibility issues identified",35,"mapping chal-
review research concerning impact ar adults lenges forms impairment provides impor-
children living asd highlights lack lon- tant platform wider research community start 
gitudinal studies barrier understand impact addressing accessibility issues identified"
"Row4848","""Inclusive ARVR accessibility barriers immersive technologies""","research studies associated technological outputs barriers highlighted issues non-disabled 
users living impairments 82",13,"research studies associated technological outputs barriers highlighted issues non-disabled 
users living impairments 82"
"Row4849","""Inclusive ARVR accessibility barriers immersive technologies""","users g",2,"users g"
"Row4850","""Inclusive ARVR accessibility barriers immersive technologies""","discomfort HMDs eye strain risk physical 

Key societal economical barriers highlighted injuries etcresearch activity outputs significant impact ARVR adoption users generate wider impact people impairments stakeholders representing andor caring abilities",31,"discomfort hmds eye strain risk physical 

key societal economical barriers highlighted injuries etcresearch activity outputs significant impact arvr adoption users generate wider impact people impairments stakeholders representing andor caring abilities"
"Row4851","""Inclusive ARVR accessibility barriers immersive technologies""","crucial moving forward approaches",4,"crucial moving forward approaches"
"Row4852","""Inclusive ARVR accessibility barriers immersive technologies""","particular participants emphasised innovative techniques collaboratively explored financial affordability ARVR devices highlighted evaluated e technical specialists people importance equality cost accessibility tools lived experience impairments wider stakeholders etc 
add-ons devices ideally extra costs help facilitate development inclusive ARVR 
users impairments currently",41,"particular participants emphasised innovative techniques collaboratively explored financial affordability arvr devices highlighted evaluated e technical specialists people importance equality cost accessibility tools lived experience impairments wider stakeholders etc 
add-ons devices ideally extra costs help facilitate development inclusive arvr 
users impairments currently"
"Row4853","""Inclusive ARVR accessibility barriers immersive technologies""","Regarding experiences users",3,"regarding experiences users"
"Row4854","""Inclusive ARVR accessibility barriers immersive technologies""","collaboration shared immersive experiences found multitasking concept multitasking Acknowledgements authors thank Meta Real-
Metaverse environment overwhelming ity Labs supporting project “Consider ” 

barrier using ARVR effectively impairments",28,"collaboration shared immersive experiences found multitasking concept multitasking acknowledgements authors thank meta real-
metaverse environment overwhelming ity labs supporting project “consider ” 

barrier using arvr effectively impairments"
"Row4855","""Inclusive ARVR accessibility barriers immersive technologies""","research Grant",2,"research grant"
"Row4856","""Inclusive ARVR accessibility barriers immersive technologies""","thank participants valu-
able contributions sandpits",6,"thank participants valu-
able contributions sandpits"
"Row4857","""Inclusive ARVR accessibility barriers immersive technologies""","caused lack integration physical acces-
sibility aids impaired users ARVR devices Funding Funding provided FacebookMeta",16,"caused lack integration physical acces-
sibility aids impaired users arvr devices funding funding provided facebookmeta"
"Row4858","""Inclusive ARVR accessibility barriers immersive technologies""","systems presently personalise experiences 
depending accessibility aids physical real-  Data availability data generated analysed study included published article",18,"systems presently personalise experiences 
depending accessibility aids physical real-  data availability data generated analysed study included published article"
"Row4859","""Inclusive ARVR accessibility barriers immersive technologies""","ity user",2,"ity user"
"Row4860","""Inclusive ARVR accessibility barriers immersive technologies""","Additionally barrier exacerbated 
current ARVR systems typically requiring quick Declarations 
dexterous limb controller interactions",14,"additionally barrier exacerbated 
current arvr systems typically requiring quick declarations 
dexterous limb controller interactions"
"Row4861","""Inclusive ARVR accessibility barriers immersive technologies""","essential terms future research Conflict behalf authors corresponding author 

community urgently starts address broad scope bar- conflict",17,"essential terms future research conflict behalf authors corresponding author 

community urgently starts address broad scope bar- conflict"
"Row4862","""Inclusive ARVR accessibility barriers immersive technologies""","riers identified ensure inherent interaction biases AR VR resolved",9,"riers identified ensure inherent interaction biases ar vr resolved"
"Row4863","""Inclusive ARVR accessibility barriers immersive technologies""","sand-
pit spoke participants ranking barriers References
solutions prioritised overwhelming perspective participants  Macdonald SJ Clayton J future disability digital divide",21,"sand-
pit spoke participants ranking barriers references
solutions prioritised overwhelming perspective participants  macdonald sj clayton j future disability digital divide"
"Row4864","""Inclusive ARVR accessibility barriers immersive technologies""","Disabil",1,"disabil"
"Row4865","""Inclusive ARVR accessibility barriers immersive technologies""","Soc",1,"soc"
"Row4866","""Inclusive ARVR accessibility barriers immersive technologies""","285702–718 unethical community 2 Watling S Digital exclusion coming closed 
address challenges identified equal priority",16,"285702–718 unethical community 2 watling s digital exclusion coming closed 
address challenges identified equal priority"
"Row4867","""Inclusive ARVR accessibility barriers immersive technologies""","doors",1,"doors"
"Row4868","""Inclusive ARVR accessibility barriers immersive technologies""","Disabil",1,"disabil"
"Row4869","""Inclusive ARVR accessibility barriers immersive technologies""","Soc",1,"soc"
"Row4870","""Inclusive ARVR accessibility barriers immersive technologies""","26491–495 involve actively exploring resolving technical  3 Meta Welcome Meta  Meta",12,"26491–495 involve actively exploring resolving technical  3 meta welcome meta  meta"
"Row4871","""Inclusive ARVR accessibility barriers immersive technologies""","Online facebook",2,"online facebook"
"Row4872","""Inclusive ARVR accessibility barriers immersive technologies""","challenges highlighted terms hardware software com",6,"challenges highlighted terms hardware software com"
"Row4873","""Inclusive ARVR accessibility barriers immersive technologies""","Available  https",2,"available  https"
"Row4874","""Inclusive ARVR accessibility barriers immersive technologies""","faceb ook",2,"faceb ook"
"Row4875","""Inclusive ARVR accessibility barriers immersive technologies""","com meta",2,"com meta"
"Row4876","""Inclusive ARVR accessibility barriers immersive technologies""","Accessed 
April 

experiences considering wider ethical societal  Kuhlen T Dohle C Virtual reality physically disabled peo-
economic issues",19,"accessed 
april 

experiences considering wider ethical societal  kuhlen t dohle c virtual reality physically disabled peo-
economic issues"
"Row4877","""Inclusive ARVR accessibility barriers immersive technologies""","collaborative approach ple",3,"collaborative approach ple"
"Row4878","""Inclusive ARVR accessibility barriers immersive technologies""","Comput",1,"comput"
"Row4879","""Inclusive ARVR accessibility barriers immersive technologies""","Biol",1,"biol"
"Row4880","""Inclusive ARVR accessibility barriers immersive technologies""","Med",1,"med"
"Row4881","""Inclusive ARVR accessibility barriers immersive technologies""","25205–211 httpsaboutfacebookcommeta",5,"25205–211 httpsaboutfacebookcommeta"
"Row4882","""Inclusive ARVR accessibility barriers immersive technologies""","Universal Access Information Society 

  Draganov IR Boumbarov OL Investigating oculus rift vir- 2nd decade ISMAR 2008–2017",16,"universal access information society 

  draganov ir boumbarov ol investigating oculus rift vir- 2nd decade ismar 2008–2017"
"Row4883","""Inclusive ARVR accessibility barriers immersive technologies""","IEEE Trans",2,"ieee trans"
"Row4884","""Inclusive ARVR accessibility barriers immersive technologies""","Visual Comput",2,"visual comput"
"Row4885","""Inclusive ARVR accessibility barriers immersive technologies""","tual reality display applicability medical assistive system Graph",8,"tual reality display applicability medical assistive system graph"
"Row4886","""Inclusive ARVR accessibility barriers immersive technologies""","242947–2962 motor disabled patients",5,"242947–2962 motor disabled patients"
"Row4887","""Inclusive ARVR accessibility barriers immersive technologies""","Proceedings IEEE 8th   de Souza RF Farias DL da Rosa RCLF Damasceno EF",13,"proceedings ieee 8th   de souza rf farias dl da rosa rclf damasceno ef"
"Row4888","""Inclusive ARVR accessibility barriers immersive technologies""","International Conference Intelligent Data Acquisition Analysis low-cost virtual augmented reality technology Advanced Computing Systems Technology Applications motor rehabilitation",18,"international conference intelligent data acquisition analysis low-cost virtual augmented reality technology advanced computing systems technology applications motor rehabilitation"
"Row4889","""Inclusive ARVR accessibility barriers immersive technologies""","21st Symposium Virtual 
IDAACS  vol  pp",6,"21st symposium virtual 
idaacs  vol  pp"
"Row4890","""Inclusive ARVR accessibility barriers immersive technologies""","751–754 Augmented Reality SVR",4,"751–754 augmented reality svr"
"Row4891","""Inclusive ARVR accessibility barriers immersive technologies""","IEEE pp",2,"ieee pp"
"Row4892","""Inclusive ARVR accessibility barriers immersive technologies""","161–164 Hawsawi O Semwal SK EEG headset supporting mobility   Chen S Hu B Gao Y Liao Z Li J Hao A Lower limb 
impaired gamers game accessibility",27,"161–164 hawsawi o semwal sk eeg headset supporting mobility   chen s hu b gao y liao z li j hao a lower limb 
impaired gamers game accessibility"
"Row4893","""Inclusive ARVR accessibility barriers immersive technologies""","Conference Pro- balance rehabilitation post-stroke patients using evaluating 
ceedings–IEEE International Conference Systems training combined augmented reality system",17,"conference pro- balance rehabilitation post-stroke patients using evaluating 
ceedings–ieee international conference systems training combined augmented reality system"
"Row4894","""Inclusive ARVR accessibility barriers immersive technologies""","IEEE Inter-
Cybernetics pp",4,"ieee inter-
cybernetics pp"
"Row4895","""Inclusive ARVR accessibility barriers immersive technologies""","837–841 national Symposium Mixed Augmented Reality Adjunct 

 7 Tang LZW Ang KS Amirul M Yusoff MBM Tng ISMAR-Adjunctpp",19,"837–841 national symposium mixed augmented reality adjunct 

 7 tang lzw ang ks amirul m yusoff mbm tng ismar-adjunctpp"
"Row4896","""Inclusive ARVR accessibility barriers immersive technologies""","217–218 CK Alyas MDBM Lim JG Kyaw PK Folianto  dos Santos LF Schmidt H Krüger J Dohle C Visualization 
FAugmented reality control home ARCH disabled virtual reality neurological motor rehabilitation upper 
elderlies",32,"217–218 ck alyas mdbm lim jg kyaw pk folianto  dos santos lf schmidt h krüger j dohle c visualization 
faugmented reality control home arch disabled virtual reality neurological motor rehabilitation upper 
elderlies"
"Row4897","""Inclusive ARVR accessibility barriers immersive technologies""","IEEE 10th International Conference Intel- limb—a systematic review",9,"ieee 10th international conference intel- limb—a systematic review"
"Row4898","""Inclusive ARVR accessibility barriers immersive technologies""","international conference ligent Sensors Sensor Networks Information Processing virtual rehabilitation ICVRIEEE pp",13,"international conference ligent sensors sensor networks information processing virtual rehabilitation icvrieee pp"
"Row4899","""Inclusive ARVR accessibility barriers immersive technologies""","176–177 ISSNIP",2,"176–177 issnip"
"Row4900","""Inclusive ARVR accessibility barriers immersive technologies""","Hacıoğlu A Özdemir ÖF Şahin AK Akgül YS Aug-

 8 Ruta D Fox T J Jordan L Boakes R WebSight using AR mented reality based wrist rehabilitation system",28,"hacıoğlu a özdemir öf şahin ak akgül ys aug-

 8 ruta d fox t j jordan l boakes r websight using ar mented reality based wrist rehabilitation system"
"Row4901","""Inclusive ARVR accessibility barriers immersive technologies""","24th 
WebGL shaders assist visually impaired",6,"24th 
webgl shaders assist visually impaired"
"Row4902","""Inclusive ARVR accessibility barriers immersive technologies""","Proceed- Signal Processing Communication Application Conference 
ings 15th Web Conference  Internet Accessible SIU IEEE pp",16,"proceed- signal processing communication application conference 
ings 15th web conference  internet accessible siu ieee pp"
"Row4903","""Inclusive ARVR accessibility barriers immersive technologies""","1869–1872 W4A Basílio SDCA Ferreira ALN Nascimento DG Silva 

 Du P  Bulusu N automated AR-based annotation tool RSN Augmented reality mirror therapy post stroke treat-
indoor navigation visually impaired people",30,"1869–1872 w4a basílio sdca ferreira aln nascimento dg silva 

 du p  bulusu n automated ar-based annotation tool rsn augmented reality mirror therapy post stroke treat-
indoor navigation visually impaired people"
"Row4904","""Inclusive ARVR accessibility barriers immersive technologies""","ASSETS ment",2,"assets ment"
"Row4905","""Inclusive ARVR accessibility barriers immersive technologies""","20th Symposium Virtual Augmented Real-
2021–23rd International ACM SIGACCESS Conference Com- ity SVRpp",16,"20th symposium virtual augmented real-
2021–23rd international acm sigaccess conference com- ity svrpp"
"Row4906","""Inclusive ARVR accessibility barriers immersive technologies""","220–224 IEEE puters Accessibility",4,"220–224 ieee puters accessibility"
"Row4907","""Inclusive ARVR accessibility barriers immersive technologies""","Barioni RR Chaves TM Figueiredo L Teichrieb V Neto 

0 Mahmud M R Stewart M Cordova A Quarles J Auditory EV Da Gama AE Arkanoidar augmented reality system 
feedback standing balance improvement virtual reality",34,"barioni rr chaves tm figueiredo l teichrieb v neto 

0 mahmud m r stewart m cordova a quarles j auditory ev da gama ae arkanoidar augmented reality system 
feedback standing balance improvement virtual reality"
"Row4908","""Inclusive ARVR accessibility barriers immersive technologies""","guide biomechanical movements sagittal plane",5,"guide biomechanical movements sagittal plane"
"Row4909","""Inclusive ARVR accessibility barriers immersive technologies""","19th 
IEEE Conference Virtual Reality 3D User Interfaces Symposium Virtual Augmented Reality SVRIEEE pp",15,"19th 
ieee conference virtual reality 3d user interfaces symposium virtual augmented reality svrieee pp"
"Row4910","""Inclusive ARVR accessibility barriers immersive technologies""","VRpp",2,"vrpp"
"Row4911","""Inclusive ARVR accessibility barriers immersive technologies""","782–791",1,"782–791"
"Row4912","""Inclusive ARVR accessibility barriers immersive technologies""","IEEE 207–214",2,"ieee 207–214"
"Row4913","""Inclusive ARVR accessibility barriers immersive technologies""","Guo R Quarles J Differences presence healthy",7,"guo r quarles j differences presence healthy"
"Row4914","""Inclusive ARVR accessibility barriers immersive technologies""","Wang K Matsukura H Iwai D Sato K Stabilizing graphi-
users users multiple sclerosis",14,"wang k matsukura h iwai d sato k stabilizing graphi-
users users multiple sclerosis"
"Row4915","""Inclusive ARVR accessibility barriers immersive technologies""","IEEE VR - cally extended hand hand tremors",8,"ieee vr - cally extended hand hand tremors"
"Row4916","""Inclusive ARVR accessibility barriers immersive technologies""","IEEE Access  28838–
shop Perceptual Illusions Virtual Environments PIVE pp",10,"ieee access  28838–
shop perceptual illusions virtual environments pive pp"
"Row4917","""Inclusive ARVR accessibility barriers immersive technologies""","1–6 8 Storesteampoweredcom",4,"1–6 8 storesteampoweredcom"
"Row4918","""Inclusive ARVR accessibility barriers immersive technologies""","nd",1,"nd"
"Row4919","""Inclusive ARVR accessibility barriers immersive technologies""","WalkinVR Steam",2,"walkinvr steam"
"Row4920","""Inclusive ARVR accessibility barriers immersive technologies""","Online 

2 Guo R Samaraweera G Quarles J effects VEs Available  httpss tores",15,"online 

2 guo r samaraweera g quarles j effects ves available  httpss tores"
"Row4921","""Inclusive ARVR accessibility barriers immersive technologies""","teamp owere dc oma pp1 0W alki 
mobility impaired users presence gait physiological nVR",14,"teamp owere dc oma pp1 0w alki 
mobility impaired users presence gait physiological nvr"
"Row4922","""Inclusive ARVR accessibility barriers immersive technologies""","Accessed April 2022
response",4,"accessed april 2022
response"
"Row4923","""Inclusive ARVR accessibility barriers immersive technologies""","Proceedings ACM Symposium Virtual  Cuzzort S Starner T AstroWheelie wheelchair based exer-
Reality Software Technology VRST pp",18,"proceedings acm symposium virtual  cuzzort s starner t astrowheelie wheelchair based exer-
reality software technology vrst pp"
"Row4924","""Inclusive ARVR accessibility barriers immersive technologies""","59–68 cise game",3,"59–68 cise game"
"Row4925","""Inclusive ARVR accessibility barriers immersive technologies""","12th IEEE International Symposium Wear-

3 Guo R Samaraweera G Quarles J Mobility impaired users able Computers IEEE pp",19,"12th ieee international symposium wear-

3 guo r samaraweera g quarles j mobility impaired users able computers ieee pp"
"Row4926","""Inclusive ARVR accessibility barriers immersive technologies""","113–114 respond healthy users virtual environments",6,"113–114 respond healthy users virtual environments"
"Row4927","""Inclusive ARVR accessibility barriers immersive technologies""","Gerling KM Kalyn MR Mandryk RL KINECTWheels 
Comput",8,"gerling km kalyn mr mandryk rl kinectwheels 
comput"
"Row4928","""Inclusive ARVR accessibility barriers immersive technologies""","Anim",1,"anim"
"Row4929","""Inclusive ARVR accessibility barriers immersive technologies""","Virtual Worlds 265509–526 Wheelchair-accessible motion-based game interaction",8,"virtual worlds 265509–526 wheelchair-accessible motion-based game interaction"
"Row4930","""Inclusive ARVR accessibility barriers immersive technologies""","CHI13 

 Arafat I M Ferdous S M S Quarles J Cybersickness-pro- Extended Abstracts Human Factors Computing Systems pp",18,"chi13 

 arafat i m ferdous s m s quarles j cybersickness-pro- extended abstracts human factors computing systems pp"
"Row4931","""Inclusive ARVR accessibility barriers immersive technologies""","voking virtual reality alters brain signals persons multiple 3055–3058 sclerosis",10,"voking virtual reality alters brain signals persons multiple 3055–3058 sclerosis"
"Row4932","""Inclusive ARVR accessibility barriers immersive technologies""","25th IEEE Conference Virtual Reality 3D",6,"25th ieee conference virtual reality 3d"
"Row4933","""Inclusive ARVR accessibility barriers immersive technologies""","Farroni T Valori I Carnevali L Multimedia interventions User Interfaces VR 2018–Proceedings pp",13,"farroni t valori i carnevali l multimedia interventions user interfaces vr 2018–proceedings pp"
